product_id,name,brand_id,category_id,purchased_count,img,created_at
48,Infinix Note 40 Pro 8GB/256GB,2,1,68,https://cdn.hoanghamobile.com/Uploads/2024/05/30/note-40-pro-2.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
49,Realme 13+ 5G 8/256GB,11,1,25,https://cdn.hoanghamobile.com/Uploads/2025/01/06/realme-13-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
50,Samsung Galaxy M15 5G 4GB/128GB,12,1,50,https://cdn.hoanghamobile.com/Uploads/2024/12/03/galaxy-m15-5g-xanh-dam-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
51,Vivo Y03T 4/128GB,13,1,16,https://hoanghamobile.com/Uploads/2025/03/11/loi-1-doi-1-6-thang.png,2025-04-05 23:32:18
52,Samsung Galaxy Z Fold6 12GB/256GB (BHĐT),12,1,64,https://cdn.hoanghamobile.com/Uploads/2024/07/11/z-fold6-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
53,Samsung Galaxy Z Fold6 12GB/256GB,12,1,67,https://cdn.hoanghamobile.com/Uploads/2024/07/11/z-fold6-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
54,Samsung Galaxy Z Flip6 12GB/512GB (BHĐT),12,1,99,https://cdn.hoanghamobile.com/Uploads/2024/07/11/z-flip6-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
55,iPhone 15 Pro Max (256GB) - Chính hãng VN/A,15,1,58,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-pro-max-natural-titanium-pure-back-iphone-15-pro-max-natural-titanium-pure-front-2up-screen-usen-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
56,Vivo Y100 8/256GB,13,1,85,https://hoanghamobile.com/Uploads/2025/03/11/loi-1-doi-1-6-thang.png,2025-04-05 23:32:18
57,Realme Note 60 4/64GB,11,1,75,https://cdn.hoanghamobile.com/Uploads/2024/08/30/realme-note-60-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
58,REDMAGIC Nova Gaming Tablet 12GB/256GB - Chính hãng,10,1,96,https://cdn.hoanghamobile.com/Uploads/2025/01/06/redmagic-nova-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
59,REDMAGIC 10 Pro 12GB/256GB Bản Quốc Tế Chính Hãng,10,1,46,https://cdn.hoanghamobile.com/Uploads/2024/12/11/redmagic-10-pro-den-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
60,Điện thoại TECNO Spark 30 5G (6+6GB/128GB),16,1,24,https://cdn.hoanghamobile.com/Uploads/2025/03/12/tecno-spark-30-5g-xanh.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
61,Samsung Galaxy S24 Ultra - 12GB/256GB (BHĐT),12,1,93,https://cdn.hoanghamobile.com/Uploads/2024/01/16/s24-ultra-vang_638409930027889246.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
62,realme C60 (4GB/64GB),11,1,22,https://cdn.hoanghamobile.com/Uploads/2024/03/07/realme-c60-5.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
63,Samsung Galaxy A55 - 8GB/128GB,12,1,52,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a55-iceblue.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
64,Samsung Galaxy A35 - 8GB/128GB,12,1,67,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a35-navy.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
